Device_ID,Device_type,Device,Site,Ambient,DevicexAmbient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width
ID1_0033,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:05:46.186,2023-08-25 13:07:03.363,00:01:17.177000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0034,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:07:28.605,2023-08-25 13:07:37.258,00:00:08.653000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0035,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:14:53.924,2023-08-25 13:15:28.238,00:00:34.314000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0036,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:22:08.343,2023-08-25 13:24:05.637,00:01:57.294000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0037,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:24:33.661,2023-08-25 13:24:54.964,00:00:21.303000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0038,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:29:08.912,2023-08-25 13:31:06.433,00:01:57.521000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0039,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:34:46.070,2023-08-25 13:35:25.025,00:00:38.955000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0040,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:34:47.541,2023-08-25 13:35:05.004,00:00:17.463000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0041,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:36:03.015,2023-08-25 13:36:07.363,00:00:04.348000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0042,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:36:03.051,2023-08-25 13:36:07.394,00:00:04.343000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0043,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:36:18.800,2023-08-25 13:36:50.535,00:00:31.735000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0044,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:36:28.889,2023-08-25 13:36:47.693,00:00:18.804000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0045,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:38:17.813,2023-08-25 13:38:54.700,00:00:36.887000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0047,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:39:14.440,2023-08-25 13:39:21.634,00:00:07.194000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0048,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 13:39:23.115,2023-08-25 13:40:39.170,00:01:16.055000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0049,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:01:18.864,2023-08-25 14:01:50.125,00:00:31.261000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0051,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:02:32.583,2023-08-25 14:02:56.574,00:00:23.991000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0052,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:08:14.145,2023-08-25 14:09:10.369,00:00:56.224000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0053,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:08:24.091,2023-08-25 14:09:23.272,00:00:59.181000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0054,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:12:40.484,2023-08-25 14:12:50.461,00:00:09.977000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0055,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:13:29.739,2023-08-25 14:13:41.278,00:00:11.539000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0056,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:14:10.814,2023-08-25 14:15:22.364,00:01:11.550000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0057,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:15:25.194,2023-08-25 14:18:00.719,00:02:35.525000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0058,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:16:53.881,2023-08-25 14:18:00.741,00:01:06.860000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0059,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:20:21.103,2023-08-25 14:21:17.004,00:00:55.901000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0060,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:26:18.024,2023-08-25 14:26:42.301,00:00:24.277000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0061,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:28:02.332,2023-08-25 14:28:23.873,00:00:21.541000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0062,ID,ID1,Site1,Maize,IDxMaize,2023-08-25 14:28:26.781,2023-08-25 14:28:45.399,00:00:18.618000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
